Kod_stacji;Kod_meteo;Nazwa_stacji;E;N
252159995;3150;BABIMOST;15.78333333;52.13333333
252150270;3152;BABIMOST;15.79611111;52.14
249220170;6808;BALIGR”D-MCHAWA;22.28333333;49.35
249210240;6708;BARWINEK;21.68333333;49.43333333
251199995;4505;BE£CHAT”W;19.36666667;51.4
251230120;4902;BEZEK;23.26666667;51.18333333
252239995;3903;BIA£A PODLASKA;23.08333333;52.03333333
254159998;1101;BIA£OGARD;15.98333333;54
252230120;3902;BIA£OWIEØA;23.85;52.7
353230295;295;BIA£YSTOK;23.16222222;53.10722222
253220070;2802;BIEBRZA-PIE—CZYK”WEK;22.6;53.65
249210070;6702;BIECZ-GRUDNA;21.25;49.73333333
252239998;3901;BIELSK PODLASKI;23.16666667;52.76666667
349190600;600;BIELSKO-BIA£A;19.00111111;49.80805556
250190380;5508;BIERU— STARY;19.1;50.08333333
249220060;6803;BIRCZA;22.48333333;49.68333333
253209997;2601;BISKUPIEC;20.98333333;53.85
252179998;3301;BOBROWNIKI;17.13333333;52.81666667
249209999;6601;BOCHNIA;20.4;49.98333333
250200040;5601;BODZENTYN;20.95;50.95
250140030;5001;BOGATYNIA;14.98333333;50.9
250219999;5702;BOGUS£AWICE;21.41666667;50.85
250160610;5252;BOLES£AW”W;16.88333333;50.25
254170210;1351;BORUCINO;17.99111111;54.25333333
250200230;5606;BORUSOWA;20.8;50.28333333
249180160;6451;BRENNA;18.87166667;49.75416667
252209995;3608;BRWIN”W;20.71666667;52.13333333
249229993;6806;BRZEGI DOLNE;22.61666667;49.45
249200480;6626;BUKOWINA TATRZA—SKA;20.11666667;49.35
353170240;240;BYDGOSZCZ;17.96666667;53.1
253180220;2450;BYDGOSZCZ;18.05;53.16666667
253170260;2351;BYDGOSZCZ-SZWEDEROWO;17.995;53.09638889
251150060;4201;CEBER;16.65;51.71666667
250219994;5707;CHMIEL”W;21.65;50.51666667
353170235;235;CHOJNICE;17.5325;53.71527778
250210180;5708;CHORZEL”W;21.45;50.35
253170210;2303;CHRZ•STOWO;17.58333333;53.18333333
251160170;4250;CHWA£KOWICE;16.61388889;51.44888889
252230190;3950;CICIB”R;23.11666667;52.08333333
252189999;3401;CIECHOCINEK;18.8;52.88333333
250230160;5951;CIESZAN”W;23.11805556;50.23361111
249180130;6403;CIESZYN;18.63333333;49.75
254179996;1304;CZARNA D•BR”WKA;17.56666667;54.35
250189991;5406;CZEKAN”W;18.73333333;50.35
251229997;4804;CZES£AWICE;22.26666667;51.31666667
350190550;550;CZ STOCHOWA;19.0925;50.8125
249209978;6622;CZORSZTYN-NADZAMCZE;20.33333333;49.43333333
254160020;1201;DAR£OWO;16.38333333;54.45
249209972;6635;D BNO;20.21666667;49.46666667
250160590;5211;D£UGOPOLE-ZDR”J;16.63333333;50.25
249200070;6651;DOBCZYCE;20.06666667;49.88333333
253190030;2502;DOBROCIN;19.83333333;53.91666667
250170110;5302;DOBROGOSZCZ;17.01666667;50.76666667
249200550;6633;DOLINA PI CIU STAW”W;20.05;49.21666667
250180580;5454;DRONIOWICE;18.80888889;50.69611111
249210140;6705;DUKLA;21.68333333;49.56666667
250169994;5206;DUSZNIKI-ZDR”J;16.4;50.4
249220040;6802;DYN”W;22.23333333;49.83333333
254140010;1001;DZIWN”W;14.73333333;54.01666667
354190160;160;ELBL•G-MILEJEWO;19.54361111;54.22305556
251229996;4806;FELIN;22.63333333;51.23333333
254190050;1505;FROMBORK;19.68333333;54.36666667
354180150;150;GDA—SK-R BIECHOWO;18.46666667;54.38333333
254180090;1407;GDA—SK-R BIECHOWO;18.46666667;54.38333333
254180110;1404;GDA—SK-åWIBNO;18.93333333;54.33333333
254180060;1402;GDYNIA;18.56666667;54.51666667
254219999;1702;GIØYCKO;21.8;54.03333333
252189985;3404;G£ BOKIE;18.45;52.65
252190030;3501;G£ODOWO;19.23333333;52.83333333
250170390;5309;G£UBCZYCE;17.8;50.18333333
250170330;5308;G£UCHO£AZY;17.38333333;50.3
252170110;3303;GNIEZNO;17.56666667;52.55
253140060;2004;GOLENI”W;14.9;53.58333333
254220030;1801;GO£DAP;22.31666667;54.31666667
352150300;300;GORZ”W WIELKOPOLSKI;15.27722222;52.74111111
252150120;3101;GORZY—;15.9;52.56666667
251150080;4101;GRABIK;15.11666667;51.65
251219996;4707;GRABOWIEC;21.38333333;51.1
251170150;4303;GRABOWNICA;17.45;51.46666667
249229987;6804;GRABOWNICA;22.08333333;49.66666667
250170140;5303;GRODK”W;17.4;50.68333333
253180150;2403;GRUDZI•DZ;18.71666667;53.43333333
249199979;6521;GUBA£”WKA;19.93333333;49.3
249200540;6632;HALA G•SIENICOWA;20.00583333;49.24416667
249190680;6526;HALA ORNAK;19.86666667;49.23333333
354180135;135;HEL;18.81194444;54.60361111
254189998;1405;HOPOWO;18.25;54.25
250200280;5608;IGO£OMIA;20.26666667;50.1
249190090;6503;INWA£D;19.43333333;49.88333333
249180260;6408;ISTEBNA-KUBALONKA;18.9;49.6
249210150;6706;IWONICZ-ZDR”J;21.78333333;49.56666667
249190560;6518;JAB£ONKA;19.7;49.46666667
250150170;5150;JAKUSZYCE;15.45;50.81666667
251210040;4702;JARCZEW;21.98333333;51.81666667
250220120;5802;JAROCIN;22.3;50.56666667
249200130;6650;JASTRZ BIA;20.9;49.78333333
249189996;6401;JASTRZ BIE-ZDR”J;18.56666667;49.95
251170320;4350;JELCZ-LASKOWICE;17.35;51.05
350150500;500;JELENIA G”RA;15.78888889;50.90027778
250200340;5664;J DRZEJ”W-SUD”£;20.27555556;50.65305556
249200110;6602;JOD£OWNIK;20.25;49.78333333
351180435;435;KALISZ;18.08194444;51.78194444
250150220;5105;KARPACZ;15.78333333;50.78333333
254170040;1302;KARØNICZKA;17.23333333;54.48333333
253180240;2406;KASPARUS;18.35277778;53.75472222
349190650;650;KASPROWY WIERCH;19.98194444;49.2325
250190530;5550;KATOWICE PYRZOWICE;19.07611111;50.47277778
350190560;560;KATOWICE-MUCHOWIEC;19.03277778;50.24055556
252209996;3607;KAW CZYN;20.35;52.16666667
350200570;570;KIELCE-SUK”W;20.69222222;50.81027778
350160520;520;K£ODZKO;16.61416667;50.43694444
254190120;1503;KMIECIN;19.16666667;54.18333333
250180120;5453;KOCHCICE;18.68333333;50.71666667
250219988;5709;KOLBUSZOWA;21.8;50.23333333
352180345;345;KO£O;18.66138889;52.20027778
354150100;100;KO£OBRZEG-DèWIRZYNO;15.38888889;54.15833333
252180080;3403;KO£UDA WIELKA;18.15;52.73333333
249220180;6809;KOMA—CZA;22.06666667;49.33333333
253189992;2404;KO—CZEWICE;18.55;53.18333333
250170240;5304;KORFANT”W;17.6;50.48333333
354160105;105;KOSZALIN;16.15555556;54.20444444
254170140;1305;KOåCIERZYNA;17.96666667;54.13333333
252170210;3305;K”RNIK;17.1;52.25
350190566;566;KRAK”W-BALICE;19.80194444;50.08027778
250190390;5511;KRAK”W-OBSERWATORIUM;19.96666667;50.06666667
251239997;4903;KRASNYSTAW;23.15;51
249219993;6704;KROSNO;21.75;49.68333333
249200370;6618;KROåCIENKO;20.43333333;49.45
249200470;6623;KRYNICA;20.96666667;49.41666667
249209980;6624;KRYNICA-G”RA PARKOWA;20.96666667;49.41666667
252150050;3202;KRZYØ;15.98333333;52.88333333
253229997;2805;KRZYØEWO;22.75;53.03333333
249190480;6551;LALIKI;19.01666667;49.55
250160520;5208;L•DEK-ZDR”J;16.88333333;50.35
252200120;3603;LEGIONOWO;20.96666667;52.4
351160415;415;LEGNICA;16.2075;51.1925
349220690;690;LESKO;22.34166667;49.46638889
249190140;6505;LESKOWIEC;19.45;49.8
351160418;418;LESZNO;16.53472222;51.83583333
250229995;5805;LEØAJSK;22.41666667;50.25
354170125;125;L BORK;17.72361111;54.55305556
250190160;5504;LGOTA G”RNA;19.23333333;50.6
249190030;6501;LIBERT”W;19.9;49.96666667
253190220;2505;LIDZBARK;19.83333333;53.25
254200080;1601;LIDZBARK WARMI—SKI;20.6;54.13333333
249200180;6605;LIMANOWA;20.43333333;49.68333333
253149998;2003;LIPNIK (LIPKI);14.96666667;53.35
254180170;1406;LISEWO;18.83333333;54.1
250239994;5904;LUBACZ”W;23.13333333;50.15
252150180;3104;LUBINICKO-åWIEBODZIN;15.55;52.25
351220495;495;LUBLIN-RADAWIEC;22.39361111;51.21694444
250189996;5402;LUBLINIEC;18.7;50.68333333
249190320;6639;LUBO— WIELKI;19.99222222;49.65333333
251199999;4501;LU∆MIERZ;19.38333333;51.9
251200150;4605;£AZISKA;20.91666667;51.33333333
249200020;6652;£AZY;20.5;49.96666667
249200260;6612;£•CKO;20.43944444;49.55944444
354170120;120;£EBA;17.53472222;54.75361111
249200320;6616;£OPUSZNA;20.13333333;49.48333333
351190465;465;£”Dè-LUBLINEK;19.39972222;51.72333333
249190190;6507;MAK”W PODHALA—SKI;19.68333333;49.73333333
253220180;2804;MARIANOWO;22.1;53.21666667
253220330;2858;MARIANOWO II;22.10583333;53.21194444
254160110;1202;MIASTKO;16.98333333;54.01666667
250200210;5604;MIECH”W;20.03333333;50.36666667
249190130;6506;MI DZYBRODZIE BIALSKIE;19.2;49.8
353210280;280;MIKO£AJKI;21.58861111;53.78944444
249200360;6636;MIZERNA;20.28333333;49.46666667
353200270;270;M£AWA;20.36111111;53.10416667
249200910;6634;MORSKIE OKO;20.07111111;49.20194444
249209986;6607;MSZANA DOLNA;20.08333333;49.66666667
249200980;6669;MSZANA DOLNA;20.05444444;49.66361111
249200490;6628;MUSZYNA;20.88333333;49.35
253210210;2750;MYSZYNIEC;21.35;53.38333333
251170290;4304;NAMYS£”W;17.73333333;51.08333333
249200420;6654;NIEDZICA;20.31666667;49.41666667
252219997;3703;NIEG”W;21.4;52.51666667
250230020;5952;NIELISZ;23.03916667;50.80527778
252209997;3606;NIEPOKALAN”W;20.41666667;52.2
251229998;4803;NOWA WIEå;22.75;51.45
253169989;2203;NOWA WIEå UJSKA;16.75;53.03333333
253220280;2855;NOWY CYDZYN;22.14111111;53.23222222
249190330;6510;NOWY DW”R;19.16666667;49.65
250230120;5905;NOWY LUBLINIEC;23.1;50.26666667
349200660;660;NOWY S•CZ;20.68916667;49.62722222
249190520;6516;OBIDOWA;19.96666667;49.55
254220090;1802;OLECKO;22.48333333;54.05
250190290;5506;OLEWIN;19.6025;50.2775
250199993;5519;OLKUSZ;19.56666667;50.28333333
353200272;272;OLSZTYN;20.42277778;53.77111111
250179999;5310;O£AWA;17.31666667;50.95
252199996;3550;OPIESIN-G£OGOWA;19.06666667;52.16666667
350170530;530;OPOLE;17.96888889;50.62694444
251219997;4706;OPOLE LUBELSKIE;21.93333333;51.13333333
353210285;285;OSTRO£ KA;21.53388889;53.06583333
250170250;5305;OTMUCH”W;17.16666667;50.46666667
250229993;5806;OØA—SK;22.58333333;50.03333333
252160160;3204;PAPRO∆;16.18333333;52.3
250150250;5106;PAPROTKI;15.95;50.73333333
249200410;6619;PIWNICZNA;20.7;49.43333333
249200920;6655;PIWNICZNA;20.72305556;49.42527778
252229997;3802;PLATER”W;22.83333333;52.3
352190360;360;P£OCK;19.72583333;52.58833333
251159993;4105;P£”CZKI DOLNE;15.55;51.1
250179994;5301;POK”J;17.85;50.9
249190670;6525;POLANA CHOCHO£OWSKA;19.78333333;49.23333333
251160150;4202;POLKOWICE DOLNE;16.05;51.5
253169997;2201;PO£CZYN-ZDR”J;16.08333333;53.76666667
249200510;6629;PORONIN;20.03333333;49.33333333
249200930;6656;PORONIN;20.035;49.33027778
252200060;3602;POåWI TNE;20.38333333;52.63333333
352160330;330;POZNA—-£AWICA;16.83583333;52.41722222
253190070;2503;PRABUTY;19.21666667;53.73333333
250170320;5307;PRUDNIK;17.56666667;50.31666667
253209993;2605;PRZASNYSZ;20.9;53.03333333
252209999;3601;PRZEDWOJEWO;20.66666667;52.91666667
253150190;2102;PRZELEWICE;15.08333333;53.1
349220695;695;PRZEMYåL;22.77194444;49.80416667
249180010;5409;PSZCZYNA;18.91666667;50
250160090;5250;PSZENNO;16.55;50.85
249200240;6609;PTASZKOWA;20.88333333;49.6
251190050;4503;PUCZNIEW;19.08333333;51.78333333
251210120;4705;PU£AWY;21.96666667;51.41666667
252210050;3701;PU£TUSK;21.1;52.73333333
249190370;6512;RABKA;19.96666667;49.61666667
350180540;540;RACIB”RZ;18.19166667;50.06166667
253180020;2401;RADOSTOWO;18.75;53.98333333
249190890;6552;RADZIECHOWY;19.15555556;49.64861111
251160320;4251;RADZY—;16.03777778;51.8725
251229999;4801;RADZY— PODLASKI;22.6;51.76666667
253159999;2150;RED£O;15.95;53.78333333
353150210;210;RESKO-SM”LSKO;15.41472222;53.77166667
254180010;1401;ROZEWIE;18.33333333;54.83333333
249209991;6604;ROØN”W;20.68333333;49.76666667
253230020;2901;R”ØANYSTOK;23.4;53.63333333
250180520;5408;RYBNIK;18.55;50.1
350220580;580;RZESZ”W-JASIONKA;22.04222222;50.11083333
350210585;585;SANDOMIERZ;21.71583333;50.69666667
249220080;6805;SANOK-TREPCZA;22.18333333;49.58333333
352220385;385;SIEDLCE;22.24472222;52.18111111
250200220;5605;SIELEC;20.41666667;50.31666667
249199986;6517;SIENIAWA;19.91666667;49.53333333
251180090;4401;SIERADZ;18.7;51.6
250190030;5501;SILNICZKA;19.76666667;50.91666667
252219995;3705;SINO£ KA;21.91666667;52.21666667
251200030;4601;SKIERNIEWICE;20.16666667;51.96666667
250200120;5602;SKRONI”W;20.26666667;50.63333333
250160480;5254;S£OSZ”W;16.37972222;50.41
352140310;310;S£UBICE;14.61944444;52.34888889
252170190;3304;S£UPCA;17.86666667;52.28333333
252179993;3306;S£UPIA WIELKA;17.21666667;52.21666667
254179998;1303;S£UPSK;17;54.46666667
254179999;1350;S£UPSK;17.1;54.48333333
251170090;4302;SMOLICE;17.18333333;51.7
251220070;4802;SOBIESZYN;22.15;51.61666667
249220150;6813;SOLINA-JAWOR;22.46666667;49.4
250180030;5401;STARE OLESNO;18.03388889;50.08444444
252189995;3450;STARY BRZEå∆;18.93333333;52.61666667
250210130;5705;STASZ”W;21.18333333;50.6
250240010;5927;STRZYØ”W;24.03333333;50.85
249220280;6850;STUPOSIANY;22.68333333;49.18333333
250180380;5407;SUKOWICE;18.16666667;50.26666667
351190469;469;SULEJ”W;19.86444444;51.35277778
252159999;3103;SUL CIN;15.1;52.45
253230160;2950;SUPRAåL;23.33222222;53.21083333
354220195;195;SUWA£KI;22.94888889;54.13083333
252160110;3203;SZAMOTU£Y-BABOR”WKO;16.63333333;52.58333333
250160130;5203;SZCZAWNO-ZDR”J;16.23333333;50.8
353140205;205;SZCZECIN;14.62277778;53.39527778
353160215;215;SZCZECINEK;16.74666667;53.71472222
250199990;5502;SZCZEKOCINY;19.8;50.63333333
253220090;2803;SZCZUCZYN;22.28333333;53.56666667
253210130;2702;SZCZYTNO;21.01666667;53.58333333
252220030;3801;SZEPIETOWO;22.55;52.85
250150150;5103;SZKLARSKA POR BA;15.53333333;50.83333333
251159996;4102;SZPROTAWA;15.53333333;51.56666667
253180090;2402;åLIWICE;18.18333333;53.7
350150510;510;åNIEØKA;15.73944444;50.73611111
252219993;3706;åWIDER;21.25;52.11666667
250169998;5202;åWIDNICA;16.46666667;50.85
250150090;5101;åWIERAD”W-ZDR”J;15.33333333;50.9
250180270;5404;åWIERKLANIEC;18.95;50.43333333
253210370;2705;åWI TAJNO;21.22777778;53.56333333
250210050;5701;åWI TY KRZYØ;21.05;50.85
353140200;200;åWINOUJåCIE;14.24222222;53.92333333
250220140;5804;TARNOGR”D;22.75;50.36666667
350200575;575;TARN”W;20.98444444;50.03
250160360;5205;TARN”W;16.8;50.58333333
352230399;399;TERESPOL;23.62138889;52.07833333
249220210;6812;TERKA;22.43333333;49.3
254199998;1502;TOLKMICKO;19.53333333;54.31666667
251150180;4104;TOMASZ”W BOLES£AWIECKI;15.68333333;51.28333333
250230070;5902;TOMASZ”W LUBELSKI;23.4;50.45
252199995;3508;TOPOLA-B£ONIE;19.18333333;52.08333333
353180250;250;TORU—;18.59527778;53.04194444
252149999;3001;TRZCI—SKO-ZDR”J;14.6;52.96666667
252159997;3105;TRZEBIECH”W;15.73333333;52.01666667
253149999;2002;TRZEBIEØ;14.53333333;53.66666667
251239999;4901;UHNIN;23.03333333;51.56666667
354160115;115;USTKA;16.85416667;54.58833333
249199998;6502;WADOWICE;19.51666667;49.88333333
252200240;3612;WARSZAWA-BABICE;20.90583333;52.26694444
252200150;3604;WARSZAWA-BIELANY;20.96666667;52.28333333
252200230;3611;WARSZAWA-FILTRY;20.99916667;52.21944444
252210160;3704;WARSZAWA-OBSERWATORIUM;21.03333333;52.21666667
252210170;3708;WARSZAWA-OBSERWATORIUM II;21.03333333;52.21666667
352200375;375;WARSZAWA-OK CIE;20.96111111;52.16277778
250230030;5901;WERBKOWICE;23.76666667;50.75
250190450;5507;W GRZCE;19.98333333;50.11666667
252160230;3206;WIELICHOWO;16.35;52.11666667
250200310;5609;WIELICZKA;20.05;50
351180455;455;WIELU—;18.55777778;51.21111111
253160090;2202;WIERZCHOWO;16.11666667;53.46666667
251169999;4203;WI—SKO;16.61666667;51.46666667
249180230;6404;WIS£A;18.86666667;49.65
251170030;4301;WITASZYCE;17.55;51.95
249199983;6520;WIT”W;19.83333333;49.33333333
251209998;4604;W£OCH”W;20.61666667;51.1
351230497;497;W£ODAWA;23.52944444;51.55333333
253209991;2602;WROCIKOWO;20.68333333;53.83333333
351160424;424;WROC£AW-STRACHOWICE;16.9;51.10333333
253179997;2301;WYCZECHY;17.03333333;53.68333333
250220030;5801;WYSOKIE;22.66666667;50.91666667
249210230;6707;WYSOWA;21.18333333;49.43333333
249229996;6801;ZAD•BROWIE;22.81666667;49.9
349190625;625;ZAKOPANE;19.96027778;49.29388889
350230595;595;ZAMOå∆;23.20638889;50.69777778
250210240;5751;ZAWADA;21.48333333;50.06666667
253219998;2703;ZAWODZIE;21.4;53.38333333
249190350;6513;ZAWOJA;19.51666667;49.61666667
250190250;5505;Z•BKOWICE;19.28333333;50.36666667
249209987;6606;ZBYSZYCE;20.66666667;49.7
351150405;405;ZGORZELEC;15.03333333;51.13333333
251150250;4106;ZGORZELEC;15.02638889;51.13555556
351150400;400;ZIELONA G”RA;15.52444444;51.93027778
251169995;4206;ZYBISZ”W;16.91666667;51.06666667
249219996;6701;ØARNOWA;21.81666667;49.88333333
249229989;6851;ØUBRACZE;22.26861111;49.20638889
249199992;6509;ØYWIEC;19.23333333;49.71666667
